product_id,spec_label,spec_value
27450,Voltage [V]|12 V
27450,Puissance nominale [kW]|2 kW
27450,Nombre de dents|11
27450,Nombre de trous|3
27450,Nombre de taraudages|2
27450,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27450,Position/degré|L 27 °
27450,Pince|NO
27450,Poids [kg]|3,97 kg
1659,Nombre de trous de fixation|2
1659,Connexion/pince|avec borne 50 (jet)
1659,Nombre de taraudages|2
1659,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
1659,Bride Ø [mm]|82 mm
1659,Type d'entraînement|avec réducteur
1659,Voltage [V]|12 V
1659,Puissance nominale [kW]|2 kW
1659,Nombre de dents|9
27416,Voltage [V]|12 V
27416,Puissance nominale [kW]|0,85 kW
27416,Nombre de dents|9
27416,Nombre de trous|2
27416,Nombre de taraudages|1
27416,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27416,Position/degré|R 37 °
27416,Pince|NO
27416,Bride Ø [mm]|63 mm
27416,Poids [kg]|3,09 kg
27413,Voltage [V]|12 V
27413,Puissance nominale [kW]|1 kW
27413,Nombre de dents|9
27413,Nombre de trous|3
27413,Nombre de taraudages|3
27413,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27413,Position/degré|L 55 °
27413,Pince|NO
27413,Poids [kg]|3,11 kg
27415,Voltage [V]|12 V
27415,Puissance nominale [kW]|1,1 kW
27415,Nombre de dents|9
27415,Nombre de trous|3
27415,Nombre de taraudages|3
27415,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27415,Position/degré|R 40 °
27415,Pince|NO
27415,Poids [kg]|6,52 kg
27457,Voltage [V]|12 V
27457,Puissance nominale [kW]|0,8 kW
27457,Nombre de dents|8
27457,Nombre de trous|2
27457,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27457,Position/degré|L 32 °
27457,Pince|NO
27457,Bride Ø [mm]|70 mm
27457,Poids [kg]|3,06 kg
27448,Voltage [V]|12 V
27448,Puissance nominale [kW]|1,3 kW
27448,Nombre de dents|9
27448,Nombre de trous|2
27448,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27448,Position/degré|L 38 °
27448,Pince|NO
27448,Bride Ø [mm]|70 mm
27448,Poids [kg]|2,91 kg
27449,Voltage [V]|12 V
27449,Puissance nominale [kW]|0,85 kW
27449,Nombre de dents|8
27449,Nombre de trous|3
27449,Nombre de taraudages|3
27449,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27449,Position/degré|L 38 °
27449,Pince|NO
27449,Poids [kg]|3,21 kg
27456,Voltage [V]|12 V
27456,Puissance nominale [kW]|1,4 kW
27456,Nombre de dents|11
27456,Nombre de trous|4
27456,Nombre de taraudages|2
27456,Sens de rotation|Rotation dans le sens des aiguilles d'une montre
27456,Position/degré|L 37 °
27456,Pince|NO
27456,Bride Ø [mm]|64 mm
27456,Poids [kg]|2,99 kg
